DateTime,AddedIPs,RemovedIPs
1536323427,380,446
1536334826,438,359
1536349226,426,338
1536357025,291,378
1536370224,380,363
1536383424,431,434
1536396025,387,307
1536407426,365,284
1536418825,348,336
1536429625,390,321
1536441025,392,313
1536453623,314,359
1536460823,260,271
1536475223,375,398
1536483026,278,297
1536496226,883,426
1536510026,561,449
1536517826,303,321
1536531626,500,445
1536540024,1974,204
1536566426,895,950
1536577227,621,509
1536589826,516,685
1536601226,521,535
1536613225,587,591
1536623425,574,511
1536634224,519,505
1536645624,439,467
1536657026,388,690
1536665426,664,487
1536676825,575,502
1536689425,599,700
1536702025,571,644
1536712824,526,462
1536724824,519,515
1536735023,502,451
1536746427,513,662
1536757227,473,565
1536768026,493,510
1536779426,592,715
1536791424,658,715
1536802824,492,576
1536814824,519,568
1536824426,527,464
1536835226,487,458
1536846025,433,508
1536855626,370,407
1536865225,522,532
1536874824,518,500
1536885024,500,470
1536894623,452,482
1536904823,714,593
1536913226,624,464
1536922826,517,530
1536932425,429,501
1536942025,480,544
1536952225,502,458
1536960027,433,439
1536968423,455,293
1536979223,469,518
1536988223,444,468
1536996627,418,422
1537006825,474,640
1537017625,518,553
1537027225,613,555
1537036225,596,562
1537045225,462,515
1537053024,1228,313
1537065024,1147,600
1537076423,680,709
1537087826,717,599
1537099826,611,661
1537113025,608,758
1537125026,688,667
1537137025,715,614
1537148424,551,567
1537159823,728,886
1537170626,740,555
1537183225,731,820
1537195226,605,694
1537208424,637,753
1537219225,682,564
1537230623,512,585
1537241424,610,648
1537252223,634,626
1537263026,561,611
1537275025,568,674
1537287626,829,962
1537299625,673,695
1537311625,824,811
1537323623,643,731
1537335624,549,644
1537347626,739,684
1537357226,567,514
1537368626,598,586
1537379425,649,639
1537389624,595,537
1537401024,518,489
1537411824,717,663
1537422623,558,574
1537433426,694,665
1537443625,595,526
1537453225,524,577
1537463425,509,431
1537474824,481,616
1537485025,493,474
1537495823,491,455
1537506623,619,625
1537517426,691,495
1537526426,455,516
1537537825,687,706
1537549226,548,673
1537560625,644,878
1537572024,635,601
1537582823,499,566
1537592423,497,469
1537602026,384,523
1537612826,463,539
1537623626,519,573
1537634426,587,606
1537644625,607,508
1537654225,478,474
1537664424,617,600
1537674023,481,564
1537682423,559,562
1537693226,483,627
1537702826,537,570
1537713626,549,562
1537725625,497,595
1537735225,463,530
1537745425,597,551
1537755024,530,475
1537763424,559,508
1537771824,431,433
1537781426,482,491
1537791026,551,641
1537803625,438,880
1537813826,694,779
1537822825,499,500
1537831224,470,473
1537839023,458,406
1537846823,393,378
1537855224,427,371
1537863027,315,377
1537871427,391,410
1537885826,556,455
1537893625,292,359
1537901425,297,432
1537909826,422,521
1537919424,472,549
1537929024,461,617
1537938623,479,548
1537947033,506,474
1537955426,444,475
1537963226,454,360
1537977026,516,431
1537990825,405,462
1538005224,423,392
1538013023,331,379
1538027423,350,453
1538041827,496,525
1538056239,513,450
1538070645,542,430
1538084439,416,422
1538098235,404,358
1538111434,304,387
1538125246,367,386
1538139034,416,521
1538148036,354,441
1538155836,345,347
1538163035,389,364
1538170836,349,465
1538179229,416,440
1538187027,411,453
1538201431,534,436
1538209235,353,320
1538217039,295,396
1538224842,292,444
1538239235,579,387
1538247639,356,371
1538262026,441,490
1538275224,406,397
1538289634,453,459
1538303442,400,500
1538317234,496,521
1538331636,471,391
1538339437,303,414
1538353229,450,445
1538367035,419,395
1538380838,400,471
1538394637,408,493
1538407837,462,402
1538421034,435,437
1538434835,399,353
1538446236,390,313
1538456429,336,359
1538467836,344,318
1538482238,346,353
