DateTime,AddedIPs,RemovedIPs
1533736579,1,1
1533744282,1,0
1533754107,0,1
1533756258,0,1
1533758199,1,1
1533760094,0,1
1533762035,2,1
1533771643,1,1
1533773548,1,0
1533775455,2,1
1533777398,1,0
1533779297,0,1
1533786971,0,1
1533788919,1,0
1533794678,0,1
1533796608,0,2
1533798502,0,1
1533808107,0,3
1533811951,0,2
1533813870,0,1
1533821788,1,2
1533825617,1,0
1533827544,1,0
1533829474,1,0
1533831407,0,1
1533837878,2,0
1533845561,0,1
1533849395,1,1
1533857053,0,1
1533861732,0,3
1533863555,0,1
1533865556,2,0
1533875055,1,0
1533877127,2,0
1533884800,0,1
1533890435,2,0
1533901943,1,0
1533905925,1,0
1533907824,0,1
1533911689,0,1
1533913592,0,1
1533915521,0,1
1533924996,1,2
1533927029,1,0
1533928833,2,0
1533935072,0,1
1533940818,1,0
1533946581,1,0
1533950450,0,1
1533952355,0,1
1533954290,1,0
1533960176,1,0
1533962171,0,1
1533964119,0,1
1533967935,3,0
1533975608,0,1
1533977530,0,1
1533981367,2,0
1533989337,1,1
1533993144,0,1
1534000722,2,0
1534004650,1,0
1534012367,0,1
1534014268,0,2
1534016175,0,1
1534018115,2,0
1534032756,0,1
1534040927,0,1
1534046666,0,1
1534048594,1,0
1534050501,0,1
1534054340,0,3
1534058188,1,0
1534060121,1,0
1534067797,0,2
1534069701,3,0
1534075485,0,2
1534077395,0,1
1534086979,0,1
1534089043,0,1
1534092987,1,0
1534096861,1,0
1534098735,1,0
1534100654,1,0
1534104498,1,1
1534114101,1,0
1534117955,1,0
1534121792,1,0
1534123698,2,0
1534127787,0,1
1534133787,0,2
1534143395,0,1
1534145289,2,0
1534148202,0,1
1534155871,0,3
1534161609,1,0
1534179396,0,1
1534183275,0,1
1534185166,1,1
1534187075,0,1
1534189000,1,0
1534191082,2,1
1534197147,2,0
1534201000,0,1
1534203778,0,1
1534205662,1,0
1534207480,0,1
1534209382,1,2
1534211315,1,0
1534223813,1,0
1534225845,1,0
1534229706,1,0
1534231687,1,2
1534241313,1,0
1534249015,1,1
1534252942,1,0
1534272790,0,1
1534276595,0,3
1534278494,1,0
1534280451,1,0
1534282356,1,0
1534284270,0,2
1534288110,1,0
1534291955,0,1
1534295686,0,1
1534297696,0,1
1534305651,1,0
1534309484,0,1
1534313323,0,1
1534315220,0,1
1534317147,0,1
1534319077,1,0
1534326764,0,1
1534334478,0,1
1534336357,1,0
1534340193,0,1
1534345988,1,0
1534355777,1,0
1534359625,2,0
1534365291,0,1
1534367318,1,1
1534369175,0,1
1534371150,1,0
1534372975,1,0
1534375219,0,1
1534391083,0,1
1534394902,3,0
1534406476,0,1
1534417950,1,0
1534421784,0,1
1534431391,0,1
1534433288,1,0
1534439303,1,0
1534441233,1,1
1534446992,1,2
1534448895,1,0
1534450816,1,0
1534452756,0,1
1534458495,1,0
1534460479,1,0
1534463577,1,2
1534477485,1,0
1534481567,0,3
1534485379,1,0
1534489274,2,0
1534491162,1,0
1534504607,0,1
1534516117,1,0
1534520186,0,1
1534526199,0,1
1534528091,0,1
1534534111,0,2
1534536026,1,1
1534537941,1,0
1534540060,1,0
1534545851,0,1
1534547773,0,2
1534561499,2,0
1534563376,0,1
1534567225,1,0
1534571299,1,1
1534575382,0,1
1534577326,0,2
1534579237,1,0
1534584999,1,0
1534586927,1,0
1534598442,1,0
1534602263,0,1
1534619129,1,0
1534620995,2,0
1534623260,2,1
1534625318,0,2
1534632972,2,0
1534642926,2,0
1534646665,0,2
1534654356,0,1
1534662085,0,1
1534665886,0,1
1534671623,1,0
1534673564,1,1
1534685082,1,1
1534696812,0,1
1534702581,1,0
1534704765,0,1
1534706810,1,1
1534708818,1,3
1534710737,1,0
1534718419,0,1
1534720333,0,1
1534725172,1,0
1534727053,1,0
1534729027,0,2
1534732847,1,0
1534746307,1,0
1534748240,1,0
1534750165,2,0
1534754009,1,0
1534757951,0,1
1534759788,0,1
1534769352,2,0
1534771251,0,1
1534785873,1,0
1534787788,0,1
1534793557,0,1
1534795466,0,1
1534797381,1,1
1534803140,1,0
1534805057,1,0
1534811872,0,1
1534813710,0,1
1534815613,1,0
1534819453,1,1
1534833134,0,1
1534835059,0,1
1534836990,0,2
1534838924,1,0
1534840821,0,1
1534856416,0,1
1534867989,1,0
1534873925,0,1
1534881537,1,0
1534883541,0,1
1534885454,1,0
1534889290,0,1
1534891226,0,1
1534895576,0,1
1534905600,0,1
1534907547,1,0
1534909441,0,1
1534913557,1,0
1534923146,1,0
1534925072,0,1
1534950980,1,0
1534952891,1,0
1534954834,0,1
1534965144,2,0
1534968901,0,1
1534972811,0,1
1534974782,1,0
1534982667,1,0
1534990455,2,0
1534994363,0,1
1535000165,0,1
1535005837,1,0
1535009692,0,1
1535015530,1,0
1535019371,1,0
1535021279,1,0
1535034739,0,1
1535036613,1,0
1535038586,0,1
1535050105,0,1
1535052283,1,1
1535060190,0,1
1535065978,1,0
1535067860,0,1
1535077461,0,2
1535079395,2,0
1535083278,1,0
1535085164,3,0
1535088975,1,0
1535092822,0,1
1535102435,0,1
1535106514,0,2
1535108423,1,0
1535118262,1,0
1535124258,0,1
1535128087,1,0
1535130973,1,0
1535136939,1,0
1535139146,0,1
1535141092,2,0
1535142979,1,0
1535144934,1,0
1535153075,0,1
1535158828,1,0
1535166527,0,2
1535168632,0,1
1535170576,0,1
1535172535,0,2
1535174407,0,1
1535193884,0,1
1535205394,0,1
1535215009,0,1
1535216904,0,1
1535219098,1,0
1535223567,0,1
1535227457,0,2
1535229633,0,1
1535231554,0,1
1535244980,0,1
1535266109,1,0
1535304970,0,1
1535352034,0,1
1535468947,1,0
1535552901,0,1
1535875226,1,0
1535959956,0,1
1536311069,1,0
1536396042,0,1
1536616348,1,0
1536649276,1,0
1536703957,0,1
1536709709,1,0
1536734672,0,1
1536793708,0,1
1537315490,1,0
1537321263,1,0
1537398526,1,0
1537402347,0,1
1537408124,0,1
1537483234,0,1
1537661078,1,0
1537746758,0,1
1537790924,1,0
1537794773,1,0
1537802422,1,0
1537856669,1,0
1537874909,1,0
1537877120,0,1
1537880922,0,1
1537912109,0,1
1537917976,1,0
1537935138,1,0
1537942832,0,1
1537961296,0,1
1538004273,0,1
1538008112,1,0
1538021547,0,1
1538090907,1,0
1538094922,0,1
1538172516,1,0
